Genes,Reference,PMID,Notes
STAB1,,,Identifying putative susceptible transcription factors and genes for colorectal cancer: an integrated analysis of large-scale genetic and multi-omics data
STARD13,"Ferndez-Rozadilla, Nat Genet, 2023",36539618,
STARD3,,,Identifying putative susceptible transcription factors and genes for colorectal cancer: an integrated analysis of large-scale genetic and multi-omics data
STAT6,,,Identifying putative susceptible transcription factors and genes for colorectal cancer: an integrated analysis of large-scale genetic and multi-omics data
STK39,"Chen ZS, Nat Commun, 2024",38670944,
STMN3,"Chen ZS, Nat Commun, 2024",38670944,
SV2A,,,Identifying putative susceptible transcription factors and genes for colorectal cancer: an integrated analysis of large-scale genetic and multi-omics data
TAGLN,"Ferndez-Rozadilla, Nat Genet, 2023",36539618,
TANC1,"Ferndez-Rozadilla, Nat Genet, 2023",36539618,
TBRG4,"Ferndez-Rozadilla, Nat Genet, 2023",36539618,
TBX3,"Chen ZS, Nat Commun, 2024",38670944,
TCF19,,,Identifying putative susceptible transcription factors and genes for colorectal cancer: an integrated analysis of large-scale genetic and multi-omics data
TCF21,"Ferndez-Rozadilla, Nat Genet, 2023",36539618,
TCF7L2,"Ferndez-Rozadilla, Nat Genet, 2023",36539618,
TCHP,,,Identifying putative susceptible transcription factors and genes for colorectal cancer: an integrated analysis of large-scale genetic and multi-omics data
TERT,"Ferndez-Rozadilla, Nat Genet, 2023",36539618,
TET2,"Chen ZS, Nat Commun, 2024",38670944,
TFEB,"Chen ZS, Nat Commun, 2024",38670944,
TGIF1,"Chen ZS, Nat Commun, 2024",38670944,
TMBIM1,"Chen ZS, Nat Commun, 2024",38670944,
TMEM110,"Chen ZS, JNCI, 2024",37632791,
TMEM116,,,Identifying putative susceptible transcription factors and genes for colorectal cancer: an integrated analysis of large-scale genetic and multi-omics data
TMEM189,"Ferndez-Rozadilla, Nat Genet, 2023",36539618,
TMEM258,"Chen ZS, Nat Commun, 2024",38670944,
TMEM75,,,Identifying putative susceptible transcription factors and genes for colorectal cancer: an integrated analysis of large-scale genetic and multi-omics data
TMEM87B,,,Identifying putative susceptible transcription factors and genes for colorectal cancer: an integrated analysis of large-scale genetic and multi-omics data
TMX4,"Ferndez-Rozadilla, Nat Genet, 2023",36539618,
TNFRSF6B,,,Identifying putative susceptible transcription factors and genes for colorectal cancer: an integrated analysis of large-scale genetic and multi-omics data
TNFSF18,"Chen ZS, Nat Commun, 2024",38670944,
TNS1,,,Identifying putative susceptible transcription factors and genes for colorectal cancer: an integrated analysis of large-scale genetic and multi-omics data
TNS3,"Ferndez-Rozadilla, Nat Genet, 2023",36539618,
TNXB,,,Identifying putative susceptible transcription factors and genes for colorectal cancer: an integrated analysis of large-scale genetic and multi-omics data
TOX,"Ferndez-Rozadilla, Nat Genet, 2023",36539618,
TOX2,"Chen ZS, Nat Commun, 2024",38670944,
TOX4,"Ferndez-Rozadilla, Nat Genet, 2023",36539618,
TRIM15,,,Identifying putative susceptible transcription factors and genes for colorectal cancer: an integrated analysis of large-scale genetic and multi-omics data
TRIM26,,,Identifying putative susceptible transcription factors and genes for colorectal cancer: an integrated analysis of large-scale genetic and multi-omics data
TRIM28,"Ferndez-Rozadilla, Nat Genet, 2023",36539618,
TRIM4,"Chen ZS, Nat Commun, 2024",38670944,
TRPC4AP,"Chen ZS, JNCI, 2024",37632791,
TRPC6,"Chen ZS, Nat Commun, 2024",38670944,
TRPS1,"Chen ZS, JNCI, 2024",37632791,
TSPAN8,"Chen ZS, Nat Commun, 2024",38670944,
TTC33,"Ferndez-Rozadilla, Nat Genet, 2023",36539618,
TUBA4A,,,Identifying putative susceptible transcription factors and genes for colorectal cancer: an integrated analysis of large-scale genetic and multi-omics data
TULP1,"Ferndez-Rozadilla, Nat Genet, 2023",36539618,
TWF2,,,Identifying putative susceptible transcription factors and genes for colorectal cancer: an integrated analysis of large-scale genetic and multi-omics data
TXN,,,Identifying putative susceptible transcription factors and genes for colorectal cancer: an integrated analysis of large-scale genetic and multi-omics data
TXNDC15,"Ferndez-Rozadilla, Nat Genet, 2023",36539618,
UGT8,"Ferndez-Rozadilla, Nat Genet, 2023",36539618,
USP12,"Chen ZS, Nat Commun, 2024",38670944,
UTP23,"Ferndez-Rozadilla, Nat Genet, 2023",36539618,
VARS2,,,Identifying putative susceptible transcription factors and genes for colorectal cancer: an integrated analysis of large-scale genetic and multi-omics data
VAV2,"Chen ZS, Nat Commun, 2024",38670944,
WBSCR27,"Ferndez-Rozadilla, Nat Genet, 2023",36539618,
WDR52,"Ferndez-Rozadilla, Nat Genet, 2023",36539618,
WNT4,"Chen ZS, Nat Commun, 2024",38670944,
WNT7B,"Chen ZS, Nat Commun, 2024",38670944,
ZFP90,"Chen ZS, Nat Commun, 2024",38670944,
ZGPAT,,,Identifying putative susceptible transcription factors and genes for colorectal cancer: an integrated analysis of large-scale genetic and multi-omics data
ZKSCAN4,"Ferndez-Rozadilla, Nat Genet, 2023",36539618,
ZMIZ1,"Chen ZS, Nat Commun, 2024",38670944,
ZNF584,"Chen ZS, Nat Commun, 2024",38670944,
ZNF774,"Chen ZS, Nat Commun, 2024",38670944,
ZNFX1,,,Identifying putative susceptible transcription factors and genes for colorectal cancer: an integrated analysis of large-scale genetic and multi-omics data
ZNRF3,"Chen ZS, Nat Commun, 2024",38670944,
ZNRF3-AS1,,,Identifying putative susceptible transcription factors and genes for colorectal cancer: an integrated analysis of large-scale genetic and multi-omics data
